      radius         M_x     M_theta  A_expected    A_actual
     0.58125     0.06579     0.44335     0.98600     0.98600
     0.58437     0.06599     0.44285     0.98621     0.98621
     0.58750     0.06620     0.44233     0.98642     0.98642
     0.59062     0.06641     0.44179     0.98662     0.98662
     0.59375     0.06661     0.44123     0.98683     0.98683
     0.59687     0.06682     0.44066     0.98703     0.98703
     0.60000     0.06703     0.44006     0.98723     0.98723
     0.60312     0.06724     0.43945     0.98743     0.98743
     0.60625     0.06745     0.43882     0.98762     0.98762
     0.60938     0.06766     0.43817     0.98782     0.98782
     0.61250     0.06788     0.43750     0.98801     0.98801
     0.61562     0.06809     0.43682     0.98820     0.98820
     0.61875     0.06830     0.43611     0.98839     0.98839
     0.62187     0.06851     0.43539     0.98858     0.98858
     0.62500     0.06873     0.43465     0.98877     0.98877
     0.62812     0.06894     0.43389     0.98896     0.98896
     0.63125     0.06916     0.43311     0.98914     0.98914
     0.63437     0.06938     0.43231     0.98932     0.98932
     0.63750     0.06959     0.43149     0.98951     0.98951
     0.64062     0.06981     0.43065     0.98969     0.98969
     0.64375     0.07003     0.42979     0.98986     0.98986
     0.64687     0.07025     0.42891     0.99004     0.99004
     0.65000     0.07047     0.42802     0.99022     0.99022
     0.65312     0.07069     0.42710     0.99039     0.99039
     0.65625     0.07091     0.42616     0.99056     0.99056
     0.65937     0.07113     0.42521     0.99073     0.99073
     0.66250     0.07136     0.42423     0.99090     0.99090
     0.66562     0.07158     0.42323     0.99107     0.99107
     0.66875     0.07180     0.42221     0.99123     0.99123
     0.67188     0.07203     0.42117     0.99140     0.99140
     0.67500     0.07225     0.42011     0.99156     0.99156
     0.67812     0.07248     0.41903     0.99172     0.99172
     0.68125     0.07271     0.41793     0.99188     0.99188
     0.68437     0.07293     0.41681     0.99204     0.99204
     0.68750     0.07316     0.41566     0.99220     0.99220
     0.69062     0.07339     0.41450     0.99235     0.99235
     0.69375     0.07362     0.41331     0.99251     0.99251
     0.69687     0.07385     0.41210     0.99266     0.99266
     0.70000     0.07408     0.41087     0.99281     0.99281
     0.70312     0.07431     0.40961     0.99296     0.99296
     0.70625     0.07455     0.40833     0.99310     0.99310
     0.70937     0.07478     0.40703     0.99325     0.99325
     0.71250     0.07501     0.40571     0.99339     0.99339
     0.71562     0.07525     0.40436     0.99354     0.99354
     0.71875     0.07548     0.40299     0.99368     0.99368
     0.72187     0.07572     0.40160     0.99382     0.99382
     0.72500     0.07596     0.40018     0.99396     0.99396
     0.72812     0.07619     0.39874     0.99409     0.99409
     0.73125     0.07643     0.39727     0.99423     0.99423
     0.73438     0.07667     0.39578     0.99436     0.99436
     0.73750     0.07691     0.39427     0.99449     0.99449
     0.74062     0.07715     0.39273     0.99462     0.99462
     0.74375     0.07739     0.39116     0.99475     0.99475
     0.74687     0.07764     0.38957     0.99488     0.99488
     0.75000     0.07788     0.38795     0.99500     0.99500
     0.75312     0.07812     0.38630     0.99513     0.99513
     0.75625     0.07837     0.38463     0.99525     0.99525
     0.75937     0.07861     0.38293     0.99537     0.99537
     0.76250     0.07886     0.38120     0.99549     0.99549
     0.76562     0.07911     0.37944     0.99561     0.99561
     0.76875     0.07935     0.37766     0.99572     0.99572
     0.77187     0.07960     0.37585     0.99584     0.99584
     0.77500     0.07985     0.37400     0.99595     0.99595
     0.77812     0.08010     0.37213     0.99606     0.99606
     0.78125     0.08035     0.37023     0.99617     0.99617
     0.78437     0.08060     0.36829     0.99628     0.99628
     0.78750     0.08086     0.36633     0.99639     0.99639
     0.79062     0.08111     0.36434     0.99650     0.99650
     0.79375     0.08136     0.36231     0.99660     0.99660
     0.79688     0.08162     0.36025     0.99670     0.99670
     0.80000     0.08187     0.35815     0.99680     0.99680
     0.80313     0.08213     0.35603     0.99690     0.99690
     0.80625     0.08239     0.35386     0.99700     0.99700
