#   j          Re{gam}             Im{gam}           Re{gam/ak}          Im{gam/ak}     nz
    1 -0.930868116992E+01  0.104958470354E+03 -0.310289372331E+00  0.349861567848E+01 -0.251519539149E-01 -0.283596629978E+00
    2 -0.565762884791E+01 -0.125975758458E+03 -0.188587628264E+00 -0.419919194859E+01 -0.106734956376E-01  0.237661703249E+00
    3 -0.794342618800E+01  0.109962507364E+03 -0.264780872933E+00  0.366541691212E+01 -0.196055702165E-01 -0.271404002288E+00
    4 -0.794342618800E+01 -0.109962507364E+03 -0.264780872933E+00 -0.366541691212E+01 -0.196055702165E-01  0.271404002288E+00
    5 -0.978220025484E+01  0.955226246645E+02 -0.326073341828E+00  0.318408748882E+01 -0.318283761779E-01 -0.310802268622E+00
    6 -0.831112263766E+01  0.956067297709E+02 -0.277037421255E+00  0.318689099236E+01 -0.270728792536E-01 -0.311431988645E+00
    7 -0.670435151721E+01  0.945471853627E+02 -0.223478383907E+00  0.315157284542E+01 -0.223873431231E-01 -0.315714394539E+00
    8 -0.813623711521E+01  0.946598152315E+02 -0.271207903840E+00  0.315532717438E+01 -0.270406330122E-01 -0.314600138667E+00
    9 -0.955625284522E+01  0.943131200931E+02 -0.318541761507E+00  0.314377066977E+01 -0.319027868164E-01 -0.314856818154E+00
   10 -0.892566917546E+01  0.947072203038E+02 -0.297522305849E+00  0.315690734346E+01 -0.295907141174E-01 -0.313976938398E+00
   11 -0.906013849280E+01  0.935269216776E+02 -0.302004616427E+00  0.311756405592E+01 -0.307840897157E-01 -0.317781140988E+00
   12 -0.718766106837E+01  0.932518646023E+02 -0.239588702279E+00  0.310839548674E+01 -0.246502474307E-01 -0.319809394733E+00
   13 -0.776692898911E+01  0.928105488314E+02 -0.258897632970E+00  0.309368496105E+01 -0.268624119542E-01 -0.320991115008E+00
   14 -0.931609810258E+01  0.923204928206E+02 -0.310536603419E+00  0.307734976069E+01 -0.324607883458E-01 -0.321679306554E+00
   15 -0.912732192709E+01  0.911820418846E+02 -0.304244064236E+00  0.303940139615E+01 -0.326073886018E-01 -0.325748154496E+00
   16 -0.749013971893E+01  0.911016303930E+02 -0.249671323964E+00  0.303672101310E+01 -0.268926160567E-01 -0.327091517679E+00
   17 -0.772898108750E+01  0.897585096110E+02 -0.257632702917E+00  0.299195032037E+01 -0.285682707238E-01 -0.331770174270E+00
   18 -0.914106943066E+01  0.894824076942E+02 -0.304702314355E+00  0.298274692314E+01 -0.338948946198E-01 -0.331798899694E+00
   19 -0.902646670338E+01  0.878595727502E+02 -0.300882223446E+00  0.292865242501E+01 -0.347137010263E-01 -0.337887574504E+00
   20 -0.770230284119E+01  0.878304259492E+02 -0.256743428040E+00  0.292768086497E+01 -0.297251961173E-01 -0.338960527810E+00
   21 -0.792088620122E+01  0.859367443814E+02 -0.264029540041E+00  0.286455814605E+01 -0.319053316418E-01 -0.346153228319E+00
   22 -0.890559163246E+01  0.857390011606E+02 -0.296853054415E+00  0.285796670535E+01 -0.359556229841E-01 -0.346164446787E+00
   23 -0.873654309006E+01  0.836619529197E+02 -0.291218103002E+00  0.278873176399E+01 -0.370420115912E-01 -0.354717763977E+00
   24 -0.802932088609E+01  0.836119048819E+02 -0.267644029536E+00  0.278706349606E+01 -0.341410723968E-01 -0.355521984774E+00
   25 -0.834894328795E+01  0.815090798189E+02 -0.278298109598E+00  0.271696932730E+01 -0.373085165222E-01 -0.364235657885E+00
   26 -0.845507295162E+01  0.808723713882E+02 -0.281835765054E+00  0.269574571294E+01 -0.383633937865E-01 -0.366944040313E+00
   27 -0.841280582591E+01  0.790708940111E+02 -0.280426860864E+00  0.263569646704E+01 -0.399153740243E-01 -0.375159533478E+00
   28 -0.835890744866E+01  0.780448445405E+02 -0.278630248289E+00  0.260149481802E+01 -0.407032221706E-01 -0.380034910796E+00
   29 -0.839791005948E+01  0.764033672243E+02 -0.279930335316E+00  0.254677890748E+01 -0.426434202206E-01 -0.387965680954E+00
   30 -0.838666777130E+01  0.749764419041E+02 -0.279555592377E+00  0.249921473014E+01 -0.442039247507E-01 -0.395181147791E+00
   31 -0.839876346239E+01  0.734803575694E+02 -0.279958782080E+00  0.244934525231E+01 -0.460635118791E-01 -0.403007340180E+00
   32 -0.836106392013E+01  0.717794939189E+02 -0.278702130671E+00  0.239264979730E+01 -0.480318193331E-01 -0.412351791192E+00
   33 -0.839338690895E+01  0.703488414906E+02 -0.279779563632E+00  0.234496138302E+01 -0.501655942397E-01 -0.420460950476E+00
   34 -0.836771813414E+01  0.683455935500E+02 -0.278923937805E+00  0.227818645167E+01 -0.529475198259E-01 -0.432463141264E+00
   35 -0.837477945235E+01  0.669888373760E+02 -0.279159315078E+00  0.223296124587E+01 -0.551257479527E-01 -0.440944121078E+00
   36 -0.835961781921E+01  0.647360621557E+02 -0.278653927307E+00  0.215786873852E+01 -0.588616917765E-01 -0.455819179757E+00
   37 -0.836883782681E+01  0.634252986180E+02 -0.278961260894E+00  0.211417662060E+01 -0.613430340427E-01 -0.464903291569E+00
   38 -0.836011151098E+01  0.608969398621E+02 -0.278670383699E+00  0.202989799540E+01 -0.663794396908E-01 -0.483522826415E+00
   39 -0.833595353350E+01  0.596314874121E+02 -0.277865117783E+00  0.198771624707E+01 -0.689795442174E-01 -0.493447187075E+00
   40 -0.835920516817E+01  0.568515129787E+02 -0.278640172272E+00  0.189505043262E+01 -0.759474166406E-01 -0.516523455995E+00
   41 -0.832485242184E+01  0.556270610904E+02 -0.277495080728E+00  0.185423536968E+01 -0.789416495580E-01 -0.527491868927E+00
