#   j          Re{gam}             Im{gam}           Re{gam/ak}          Im{gam/ak}     nz
    1  0.898881931098E+02 -0.429426993245E+03  0.299627310366E+01 -0.143142331082E+02  0.140094643908E-01  0.669280576479E-01
    2 -0.441054746062E+02  0.390366761681E+03 -0.147018248687E+01  0.130122253894E+02 -0.857352015107E-02 -0.758821286350E-01
    3 -0.749612807455E+01  0.437863552952E+03 -0.249870935818E+00  0.145954517651E+02 -0.117260945570E-02 -0.684944197048E-01
    4 -0.749612807454E+01 -0.437863552952E+03 -0.249870935818E+00 -0.145954517651E+02 -0.117260945570E-02  0.684944197048E-01
    5 -0.977467558703E+01  0.385579257163E+03 -0.325822519568E+00  0.128526419054E+02 -0.197113909185E-02 -0.777550456824E-01
    6 -0.843867716092E+01  0.385586598890E+03 -0.281289238697E+00  0.128528866297E+02 -0.170193825996E-02 -0.777662864290E-01
    7 -0.976183513747E+01  0.385250288822E+03 -0.325394504582E+00  0.128416762941E+02 -0.197191423917E-02 -0.778214874022E-01
    8 -0.846567051291E+01  0.385280458522E+03 -0.282189017097E+00  0.128426819507E+02 -0.171009022522E-02 -0.778277804554E-01
    9 -0.973302507308E+01  0.384687036298E+03 -0.324434169103E+00  0.128229012099E+02 -0.197185997042E-02 -0.779355814169E-01
   10 -0.851130769834E+01  0.384762082874E+03 -0.283710256611E+00  0.128254027625E+02 -0.172393365235E-02 -0.779321258639E-01
   11 -0.968531799099E+01  0.383907630030E+03 -0.322843933033E+00  0.127969210010E+02 -0.197017737038E-02 -0.780940931113E-01
   12 -0.856398435085E+01  0.384057525194E+03 -0.285466145028E+00  0.128019175065E+02 -0.174095950761E-02 -0.780744770849E-01
   13 -0.860079138307E+01  0.383181688823E+03 -0.286693046102E+00  0.127727229608E+02 -0.175643234860E-02 -0.782524169771E-01
   14 -0.960485273117E+01  0.382920343597E+03 -0.320161757706E+00  0.127640114532E+02 -0.196391156777E-02 -0.782960148761E-01
   15 -0.858604058581E+01  0.382133387020E+03 -0.286201352860E+00  0.127377795673E+02 -0.176305162529E-02 -0.784670049404E-01
   16 -0.944563645953E+01  0.381714630695E+03 -0.314854548651E+00  0.127238210232E+02 -0.194360952617E-02 -0.785446481745E-01
   17 -0.659719096128E+01  0.381463712505E+03 -0.219906365376E+00  0.127154570835E+02 -0.135970273498E-02 -0.786209246076E-01
   18 -0.662584501419E+01  0.381211333967E+03 -0.220861500473E+00  0.127070444656E+02 -0.136741310703E-02 -0.786727388732E-01
   19 -0.670104533106E+01  0.380613366092E+03 -0.223368177702E+00  0.126871122031E+02 -0.138727047411E-02 -0.787957189879E-01
   20 -0.878650726459E+01  0.381549755355E+03 -0.292883575486E+00  0.127183251785E+02 -0.180969304971E-02 -0.785850303874E-01
   21 -0.893840248160E+01  0.381360815271E+03 -0.297946749387E+00  0.127120271757E+02 -0.184276736749E-02 -0.786224682844E-01
   22 -0.849180658244E+01  0.380881108269E+03 -0.283060219415E+00  0.126960369423E+02 -0.175520020562E-02 -0.787256036815E-01
   23 -0.895020804947E+01  0.380898216573E+03 -0.298340268316E+00  0.126966072191E+02 -0.184968077320E-02 -0.787177352576E-01
   24 -0.680391785479E+01  0.379795374150E+03 -0.226797261826E+00  0.126598458050E+02 -0.141462593613E-02 -0.789645610310E-01
   25 -0.916632726506E+01  0.380258382343E+03 -0.305544242169E+00  0.126752794114E+02 -0.190067007007E-02 -0.788479077078E-01
   26 -0.917325145485E+01  0.380092923477E+03 -0.305775048495E+00  0.126697641159E+02 -0.190375956791E-02 -0.788821219309E-01
   27 -0.693455843214E+01  0.378751274266E+03 -0.231151947738E+00  0.126250424755E+02 -0.144972724834E-02 -0.791811112446E-01
   28 -0.833247303235E+01  0.379383939643E+03 -0.277749101078E+00  0.126461313214E+02 -0.173591254843E-02 -0.790374404983E-01
   29 -0.903408040647E+01  0.379261902033E+03 -0.301136013549E+00  0.126420634011E+02 -0.188313051091E-02 -0.790561548282E-01
   30 -0.924382401512E+01  0.378543539520E+03 -0.308127467171E+00  0.126181179840E+02 -0.193411525123E-02 -0.792038913594E-01
   31 -0.911737619477E+01  0.377916509871E+03 -0.303912539826E+00  0.125972169957E+02 -0.191402100128E-02 -0.793364364016E-01
   32 -0.710316851921E+01  0.377477526071E+03 -0.236772283974E+00  0.125825842024E+02 -0.149498700522E-02 -0.794467982438E-01
   33 -0.813799861114E+01  0.377642457747E+03 -0.271266620371E+00  0.125880819249E+02 -0.171110083958E-02 -0.794033468657E-01
   34 -0.915415369904E+01  0.376966466540E+03 -0.305138456635E+00  0.125655488847E+02 -0.193142562586E-02 -0.795357733225E-01
   35 -0.921075484249E+01  0.376209605147E+03 -0.307025161416E+00  0.125403201716E+02 -0.195117612106E-02 -0.796950098693E-01
   36 -0.730979547917E+01  0.376025373108E+03 -0.243659849306E+00  0.125341791036E+02 -0.155034406273E-02 -0.797517121095E-01
   37 -0.792750733563E+01  0.375634878887E+03 -0.264250244521E+00  0.125211626296E+02 -0.168473926323E-02 -0.798292328604E-01
   38 -0.913022368102E+01  0.375203792981E+03 -0.304340789367E+00  0.125067930994E+02 -0.194451430592E-02 -0.799092298914E-01
   39 -0.743160670030E+01  0.374338913943E+03 -0.247720223343E+00  0.124779637981E+02 -0.159038725646E-02 -0.801097074081E-01
   40 -0.922530552205E+01  0.374243339139E+03 -0.307510184068E+00  0.124747779713E+02 -0.197483145050E-02 -0.801130666627E-01
   41 -0.782993455439E+01  0.373435389590E+03 -0.260997818480E+00  0.124478463197E+02 -0.168367225584E-02 -0.802998799588E-01
