#     r        M_x     dM_x/dr     M_th   dM_th/dr    M_tot       A        dA/dr     rhob      pbar
     0.2000E+00     0.4493E-01     0.4166E-01     0.3641E+00     0.8350E+00     0.3668E+00     0.9490E+00     0.1271E+00     0.7698E+00     0.6933E+00
     0.6000E+00     0.6703E-01     0.6883E-01     0.4401E+00    -0.4551E+00     0.4451E+00     0.9872E+00     0.6373E-01     0.9375E+00     0.9136E+00
     0.1000E+01     0.1000E+00     0.9601E-01    -0.0000E+00    -0.1745E+01     0.1000E+00     0.1000E+01     0.4042E-03     0.1000E+01     0.1000E+01
