     radius          vR         vTh          vX          Pr 
  0.100000000000  0.000000000000  0.700000000000  0.750000000000  0.666666717650
  0.128125000000  0.005295828262  0.745791227208  0.795879469975  0.728298284807
  0.156250000000  0.009579049483  0.749807326534  0.809627828762  0.765187847152
  0.184375000000  0.012911904148  0.749991518900  0.812050799681  0.791342088941
  0.212500000000  0.015357518101  0.749999627426  0.812430902692  0.813109217540
  0.240625000000  0.016980258953  0.749999985665  0.812489398758  0.831950044359
  0.268750000000  0.017845915228  0.750000045683  0.812498375008  0.849325381117
  0.296875000000  0.018021692500  0.750001056067  0.812499756523  0.871583437545
  0.325000000000  0.017576043117  0.750024031170  0.812500000000  0.912730913366
  0.353125000000  0.016578366101  0.750544101743  0.812500243477  0.951479739527
  0.381250000000  0.015098628687  0.761072731797  0.812501624992  0.966541846971
  0.409375000000  0.013206968695  0.823917146250  0.812510601242  0.971923935426
  0.437500000000  0.010973336327  0.848473284612  0.812569097308  0.973974214629
  0.465625000000  0.008467225224  0.849931927192  0.812949200319  0.974153496356
  0.493750000000  0.005757526875  0.849997007153  0.815372171238  0.973922592380
  0.521875000000  0.002912521957  0.849999868753  0.829120530025  0.979629712440
  0.550000000000  0.000000000000  0.850000000000  0.875000000000  1.005281556264
  0.578125000000 -0.002912521957  0.850000131247  0.920879469975  1.029590054794
  0.606250000000 -0.005757526875  0.850002992847  0.934627828762  1.031267138977
  0.634375000000 -0.008467225224  0.850068072808  0.937050799681  1.024319508539
  0.662500000000 -0.010973336327  0.851526715388  0.937430902692  1.015095373218
  0.690625000000 -0.013206968695  0.876082853750  0.937489398758  1.005055544789
  0.718750000000 -0.015098628687  0.938927268203  0.937498375008  0.995660835026
  0.746875000000 -0.016578366101  0.949455898257  0.937499756523  0.993259453668
  0.775000000000 -0.017576043117  0.949975968830  0.937500000000  1.011858100442
  0.803125000000 -0.018021692500  0.949998943933  0.937500243477  1.030168706291
  0.831250000000 -0.017845915228  0.949999954317  0.937501624992  1.026903202161
  0.859375000000 -0.016980258953  0.950000014335  0.937510601242  1.016068287777
  0.887500000000 -0.015357518101  0.950000372574  0.937569097308  1.004012172869
  0.915625000000 -0.012911904148  0.950008481100  0.937949200319  0.992195669156
  0.943750000000 -0.009579049483  0.950192673466  0.940372171238  0.982079588047
  0.971875000000 -0.005295828262  0.954208772792  0.954120530025  0.980012136910
  1.000000000000 -0.000000000000  1.000000000000  1.000000000000  1.000000000000
