 Grid PointsS_ActualS_actualSource Term Error
         210 -0.50712444549393532      -0.50729964160280805        1.7519610887273274E-004
         211 -0.44621579405014627      -0.44619629262763433        1.9501422511947197E-005
         212 -0.38425153350418084      -0.38403042146510757        2.2111203907326793E-004
         213 -0.32003865295133399      -0.31962862039792816        4.1003255340582578E-004
         214 -0.25244810060610823      -0.25189241160687131        5.5568899923691406E-004
         215 -0.18060017872700704      -0.17997930953531496        6.2086919169207500E-004
         216 -0.10409013829612271      -0.10351494580429267        5.7519249183003718E-004
         217  -2.3173377062339871E-002  -2.2758116131063686E-002   4.1526093127618527E-004
         218   6.1209349461791580E-002   6.1388087108296782E-002   1.7873764650520180E-004
         219  0.14765006425849228       0.14758649524963707        6.3569008855207665E-005
         220  0.23468974523203412       0.23445148996386886        2.3825526816526055E-004
         221  0.32125483758909640       0.32095346805704777        3.0136953204862316E-004
         222  0.40692546637593840       0.40667594770109150        2.4951867484690471E-004
         223  0.49196629272901182       0.49185800376592520        1.0828896308662239E-004
         224  0.57718375878913053       0.57727097267657523        8.7213887444703708E-005
         225  0.66372254496978977       0.66402900525513620        3.0646028534642156E-004
         226  0.75288525414936347       0.75341406564870150        5.2881149933803329E-004
         227  0.84600852461065823       0.84675143118759510        7.4290657693687479E-004
         228  0.94439339084911800       0.94533719381880377        9.4380296968576971E-004
         229   1.0492737252086064        1.0504037916105078        1.1300664019013862E-003
         230   1.1618057751673549        1.1631073528919986        1.3015777246436766E-003
         231   1.2830657906066245        1.2845238692173957        1.4580786107711852E-003
         232   1.4140470077425680        1.4156452444946899        1.5982367521218954E-003
         233   1.5556503048820511        1.5573693072568120        1.7190023747608585E-003
         234   1.7086645668753979        1.7104796554592521        1.8150885838541519E-003
         235   1.8737335276440665        1.8756120002384504        1.8784725943838954E-003
         236   2.0513059786525352        2.0532038461086359        1.8978674561007658E-003
         237   2.2415660464121068        2.2434242040716263        1.8581576595195770E-003
         238   2.4443400157930948        2.4460798512688711        1.7398354757762746E-003
         239   2.6589761699762566        2.6604946968968490        1.5185269205924001E-003
         240   2.8841946471363085        2.8853594116579151        1.1647645216066316E-003
         241   3.1179057923120985        3.1185500458809403        6.4425356884179052E-004
         242   3.3569984534114652        3.3569174419679610        8.1011443504142022E-005
         243   3.5971048012017581        3.5960544963697130        1.0503048320451569E-003
         244   3.8323562666513480        3.8300564353939950        2.2998312573530022E-003
         245   4.0551566709991915        4.0513007616809364        3.8559093182550797E-003
         246   4.2560136511657793        4.2502883800678140        5.7252710979653898E-003
         247   4.4234870172772904        4.4156044488567803        7.8825684205101609E-003
         248   4.5443297510955345        4.5340736189383133        1.0256132157221209E-002
         249   4.6039082383521537        4.5911937384252219        1.2714499926931744E-002
         250   4.5869842081034067        4.5719261700867628        1.5058038016643849E-002
         251   4.4789108391123094        4.4618892727252621        1.7021566387047216E-002
         252   4.2672300090984754        4.2489358040749154        1.8294205023559940E-002
         253   3.9435546696305854        3.9249942847258841        1.8560384904701355E-002
         254   3.5054931453696629        3.4879329237728465        1.7560221596816472E-002
         255   2.9582547824863163        2.9430959319850163        1.5158850501300059E-002
         256   2.3155199623557978        2.3041141350156362        1.1405827340161601E-002
         257   1.5992129982234067        1.5926508561504584        6.5621420729482516E-003
         258  0.83800601233969740       0.84844390706354811        1.0437894723850705E-002
