GridP      S_expected         S_actual            Error 
   1 -0.057190626592  0.000000000000  9.540764279326
   2 -0.057109061158  0.875593884916 20.983887917305
   3 -0.057085118518  0.873397069000 20.890793221692
   4 -0.057117438538  0.871145379879 20.797923820064
   5 -0.057204582851  0.868840261585 20.705279734366
   6 -0.057345039410  0.866483231789 20.612860985322
   7 -0.057537227078  0.864075877213 20.520667592438
   8 -0.057779500260  0.861619848996 20.428699573998
   9 -0.058070153549  0.859116858052 20.336956947064
  10 -0.058407426397  0.856568670398 20.245439727475
  11 -0.058789507795  0.853977102469 20.154147929851
  12 -0.059214540969  0.851344016428 20.063081567585
  13 -0.059680628089  0.848671315455 19.972240652850
  14 -0.060185834991  0.845960939023 19.881625196596
  15 -0.060728195915  0.843214858166 19.791235208550
  16 -0.061305718249  0.840435070724 19.701070697219
  17 -0.061916387294  0.837623596589 19.611131669885
  18 -0.062558171025  0.834782472941 19.521418132613
  19 -0.063229024856  0.831913749478 19.431930090243
  20 -0.063926896393  0.829019483668 19.342667546398
  21 -0.064649730166  0.826101736017 19.253630503482
  22 -0.065395472323  0.823162565372 19.164818962680
  23 -0.066162075272  0.820204024282 19.076232923959
  24 -0.066947502252  0.817228154424 18.987872386070
  25 -0.067749731809  0.814236982129 18.899737346551
  26 -0.068566762165  0.811232514014 18.811827801720
  27 -0.069396615445  0.808216732751 18.724143746687
  28 -0.070237341751  0.805191593000 18.636685175345
  29 -0.071087023052  0.802159017509 18.549452080377
  30 -0.071943776880  0.799120893430 18.462444453256
  31 -0.072805759793  0.796079068841 18.375662284242
  32 -0.073671170614  0.793035349525 18.289105562389
  33 -0.074538253396  0.789991495989 18.202774275541
  34 -0.075405300132  0.786949220763 18.116668410334
  35 -0.076270653171  0.783910185982 18.030787952198
  36 -0.077132707343  0.780876001258 17.945132885357
  37 -0.077989911794  0.777848221852 17.859703192827
  38 -0.078840771503  0.774828347147 17.774498856423
  39 -0.079683848509  0.771817819432 17.689519856753
  40 -0.080517762822  0.768818022982 17.604766173221
  41 -0.081341193044  0.765830283441 17.520237784029
  42 -0.082152876688  0.762855867505 17.435934666176
  43 -0.082951610218  0.759895982874 17.351856795459
  44 -0.083736248811  0.756951778504 17.268004146470
  45 -0.084505705847  0.754024345101 17.184376692604
  46 -0.085258952162  0.751114715878 17.100974406053
  47 -0.085995015051  0.748223867551 17.017797257807
  48 -0.086712977056  0.745352721548 16.934845217657
  49 -0.087411974544  0.742502145434 16.852118254194
  50 -0.088091196099  0.739672954515 16.769616334809
  51 -0.088749880741  0.736865913623 16.687339425694
  52 -0.089387315988  0.734081739055 16.605287491842
  53 -0.090002835779  0.731321100643 16.523460497046
  54 -0.090595818285  0.728584623952 16.441858403902
  55 -0.091165683606  0.725872892575 16.360481173809
  56 -0.091711891391  0.723186450518 16.279328766966
  57 -0.092233938385  0.720525804652 16.198401142377
  58 -0.092731355930  0.717891427211 16.117698257846
  59 -0.093203707430  0.715283758329 16.037220069985
  60 -0.093650585797  0.712703208590 15.956966534205
  61 -0.094071610905  0.710150161580 15.876937604723
  62 -0.094466427056  0.707624976413 15.797133234563
