GridP      S_expected         S_actual            Error 
 387  0.000000000000  0.000000000000  0.000000000000
 388 -1.845051357530 -0.910116679328 21.077208316468
 389 -1.770292570110 -0.844252077396 20.705277979288
 390 -1.697918083593 -0.780735396882 20.336953780282
 391 -1.627843652360 -0.719496006705 19.972236314535
 392 -1.560103132211 -0.660567419047 19.611126452329
 393 -1.494801652941 -0.604054430141 19.253624716530
 394 -1.432070427771 -0.550087929714 18.899731286396
 395 -1.372029709008 -0.498787856660 18.549446006177
 396 -1.314763507421 -0.450237918420 18.202768395681
 397 -1.260306608991 -0.404472607737 17.859697660339
 398 -1.208642078489 -0.361474706241 17.520232699155
 399 -1.159706225321 -0.321180250296 17.184372109942
 400 -1.113397829344 -0.283487756816 16.852114192015
 401 -1.069588928957 -0.248269011352 16.523456946932
 402 -1.028135271230 -0.215379518221 16.198398077989
 403 -0.988885321636 -0.184667510235 15.876934989104
 404 -0.951687370905 -0.155981055541 15.559064783534
 405 -0.916394710344 -0.129173232938 15.244784262724
 406 -0.882869093722 -0.104105593751 14.934089925436
 407 -0.850982810078 -0.080650234626 14.626977967183
 408 -0.820619707576 -0.058690821368 14.323444279985
 409 -0.791675474385 -0.038122869812 14.023484452383
 410 -0.764057426942 -0.018853534060 13.727093769673
 411 -0.737683996022 -0.000801092542 13.434267214305
 412 -0.712484045751  0.016105733004 13.144999466403
 413 -0.688396113443  0.031928537711 12.859284904373
 414 -0.665367619381  0.046720023825 12.577117605557
 415 -0.643354063950  0.060524803605 12.298491346926
 416 -0.622318203178  0.073380223806 12.023399605770
 417 -0.602229170934  0.085317243509 11.751835560382
 418 -0.583061495557  0.096361417530 11.483792090708
 419 -0.564793940212  0.106534056093 11.219261778943
 420 -0.547408080935  0.115853646821 10.958236910073
 421 -0.530886527100  0.124337634307 10.700709472348
 422 -0.515210691552  0.132004650016 10.446671157684
 423 -0.500358040615  0.138877262326 10.196113362047
 424 -0.486298809023  0.144985261630  9.949027185863
 425 -0.472992264621  0.150369395681  9.705403434573
 426 -0.460382762347  0.155085315660  9.465232619499
 427 -0.448396036395  0.159207284054  9.228504959229
 428 -0.436936421795  0.162830953130  8.995210381750
 429 -0.425885916504  0.166074302892  8.765338527504
 430 -0.415106098060  0.169075724479  8.538878753391
 431 -0.404443772515  0.171988371284  8.315820137483
 432 -0.393740748763  0.174970384689  8.096151483866
 433 -0.382847272509  0.178171460140  7.879861326704
 434 -0.371637553467  0.181717320023  7.666937932519
 435 -0.360024796202  0.185694682868  7.457369299897
 436 -0.347972630951  0.190139832599  7.251143156455
 437 -0.335500191569  0.195033540651  7.048246953750
 438 -0.322679362656  0.200303818901  6.848667861538
 439 -0.309624569597  0.205836129701  6.652392763096
 440 -0.296477272769  0.211488891736  6.459408252950
 441 -0.283388416366  0.217111031272  6.269700637599
 442 -0.270502152829  0.222558257793  6.083255938895
 443 -0.257943332854  0.227705574064  5.900059899130
