GridP      S_expected         S_actual            Error 
   9  0.000000000000  0.000000000000  0.000000000000
  10 -0.564674516399  0.175851874616  5.596889841172
  11  0.219894355780  0.007903867379  4.626065608235
  12 -0.421307969418 -0.291323098597  3.757286369689
  13 -0.143933315784 -0.115654170676  2.952236233763
  14  0.157942710085  0.111131284947  2.216591638223
  15  0.023708880006  0.026228975891  1.550229812947
  16 -0.015312816443 -0.018643744957  0.957186579235
  17 -0.016855215305 -0.013674110970  0.439681903921
  18  0.000000000000  0.000000000000  0.000000000000
