GridP      S_expected         S_actual            Error 
  99  0.000000000000  0.000000000000  0.000000000000
 100 -1.845051357530 -0.909979281983 21.077214527545
 101 -1.560103132211 -0.660635748426 19.611041701262
 102 -1.314763507421 -0.450304482495 18.202673648651
 103 -1.113397829344 -0.283552513986 16.852049190210
 104 -0.951687370905 -0.156043965336 15.559029586019
 105 -0.820619707576 -0.058751844471 14.323428670632
 106 -0.712484045751  0.016046634732 13.144996558318
 107 -0.622318203178  0.073323087297 12.023407626420
 108 -0.547408080935  0.115798507785 10.958257890473
 109 -0.486298809023  0.144932154527  9.949063699781
 110 -0.436936421795  0.162779911150  8.995257310647
 111 -0.393740748763  0.174921439731  8.096186194800
 112 -0.347972630951  0.190093015254  7.251139625455
 113 -0.296477272769  0.211444231261  6.459373551596
 114 -0.245809952995  0.232412352920  5.720060878003
 115 -0.202500763282  0.246457648895  5.032266241469
 116 -0.167464627570  0.252653448455  4.394985448968
 117 -0.138898481642  0.252789044323  3.807160226018
 118 -0.115016798656  0.248634255230  3.267672134200
 119 -0.094667565883  0.241323542670  2.775339386832
 120 -0.077171247239  0.231517146993  2.328917584345
 121 -0.062108289349  0.219613684843  1.927101534888
 122 -0.049190960203  0.205878418563  1.568527072250
 123 -0.038199414313  0.190507303375  1.251772589532
 124 -0.028951575424  0.173657220936  0.975360051554
 125 -0.021288472189  0.155460763573  0.737754919162
 126 -0.015065365946  0.136035229685  0.537363523217
 127 -0.010143045671  0.115491454927  0.372523892026
 128 -0.006375905069  0.093945863838  0.241477960515
 129 -0.003600083394  0.071532459980  0.142283930728
 130 -0.001647070151  0.048389354066  0.072510178842
 131 -0.000426496090  0.024576107290  0.028093762350
 132  0.000000000000  0.000003905843  0.000003905843
