 Grid PointsS_ActualS_actualSource Term Error
           1   2.0179216873300355E-002   0.0000000000000000       0.14354013391670012     
           2   1.8359917889927461E-002   1.1368587797574436E-002   6.9947220130190599E-003
           3   1.4777167924736052E-002   8.0123698132343879E-003   6.7700488149733317E-003
           4   1.1502226222671774E-002   4.9638609520190613E-003   6.5413162820463430E-003
           5   9.3212762489686546E-003   3.0092480285225931E-003   6.3130063508379181E-003
           6   8.1003501733351267E-003   2.0145665572438576E-003   6.0859653875831050E-003
           7   7.5627684241329832E-003   1.7031403069253659E-003   5.8596283170901419E-003
           8   7.5982816852043682E-003   1.9647232975417706E-003   5.6337977725184141E-003
           9   8.3168535155678236E-003   2.9092824201587542E-003   5.4089657453609491E-003
          10   9.9935177780819048E-003   4.8118548657576365E-003   5.1864358139306630E-003
          11   1.2756702931005694E-002   7.8008724169526533E-003   4.9655730904897312E-003
          12   1.5811510078597959E-002   1.1081439498755397E-002   4.7373126415233653E-003
          13   1.7091817380826116E-002   1.2587437588438610E-002   4.5043798134650585E-003
          14   1.5272644063727213E-002   1.0993889226058429E-002   4.2871279613462560E-003
          15   1.1695476935356403E-002   7.6422845305613718E-003   4.0661813131176536E-003
          16   8.4097669085093502E-003   4.5820777226660558E-003   3.8351621476331375E-003
          17   6.1790028201039269E-003   2.5767609444000694E-003   3.6049668379859144E-003
          18   4.8338634477336721E-003   1.4570162758157368E-003   3.3776369403751474E-003
          19   4.0262214108678293E-003   8.7471963634416783E-004   3.1517022224263171E-003
          20   3.5041210468139575E-003   5.7791866091561062E-004   2.9262473669715589E-003
          21   3.1256752598075657E-003   4.2472954920824701E-004   2.7009535523625284E-003
          22   2.8195551671247447E-003   3.4382671191540704E-004   2.4757288579043478E-003
          23   2.5537581065179587E-003   3.0321077833844745E-004   2.2505480977912154E-003
          24   2.3192436742315429E-003   2.9384463455861543E-004   2.0254056506939060E-003
          25   2.1250541041224346E-003   3.2477380271533907E-004   1.8003105759150434E-003
          26   2.0031979786917825E-003   4.2801015219195993E-004   1.5753229983296554E-003
          27   2.0250081897853545E-003   6.7488986047342658E-004   1.3507464414369604E-003
          28   2.3323072311279822E-003   1.2072387058356671E-003   1.1280233295993753E-003
          29   3.1765801762386799E-003   2.2765450454145797E-003   9.1325691219777791E-004
          30   4.9038655054594142E-003   4.2288506423955319E-003   7.2497322822408661E-004
          31   7.6772451836051208E-003   7.2272407438143116E-003   5.7658748585057650E-004
          32   1.0723973016986436E-002   1.0498972437735565E-002   3.7394133619820521E-004
          33   1.2000015433898736E-002   0.0000000000000000       0.21034258692705810     
