 radius M_x M_theta A_expected A_actual vR vTh vX Pr S_1_e S_2_e S_3_e S_4_e S_1_a S_2_a S_3_a S_4_a 
   0.0000000000000000       0.18750037362822614        0.0000000000000000       0.93195318359880819        1.0000000000000000       -2.7962465366028560E-002  0.65000149451151645       0.68765887703289719       0.48584049438565752                            NaN                       NaN                       NaN                       NaN  -14.424587101770079      -0.69097930297358068       -1.0585589909029517E-006  0.35695827822311799     
   3.9062500000000000E-003  0.18750057667600017        3.7331682976733949E-002  0.93221296107326557       0.93221297786891855       -2.6580552555352188E-002  0.65000230670261261       0.68770606036774340       0.49220426187524829       -10.733226813860172      -0.38113500531224492       -3.5732764319233506E-004  -6.4654279144046578       -10.733109078232864      -0.43373926127899876       -3.5738161341247922E-004  -6.4654203233393783     
   7.8125000000000000E-003  0.18750089006599696        5.2799552814933530E-002  0.93247285647634182       0.93247287320732708       -2.5223550671941181E-002  0.65000356026259987       0.68776722622513797       0.49850202973503471       -7.1107100683248454      -0.25582845107280944       -3.4002258177343801E-004  -2.8951962888472638       -7.1105623243481801      -0.25883413627047197       -3.4010162187165334E-004  -2.8951887347683578     
   1.1718750000000000E-002  0.18750137375604478        6.4671487374848416E-002  0.93273286903385588       0.93273288570009105       -2.3891282234926731E-002  0.65000549502279104       0.68784649781685925       0.50473690019302087       -5.5138391290351390      -0.19791449309133693       -3.2340227027172078E-004  -1.7110449298919395       -5.5136528081426803      -0.19887722632182736       -3.2351780363698573E-004  -1.7110374116795750     
   1.5625000000000000E-002  0.18750212027639013        7.4682438740418522E-002  0.93299299797018309       0.93299301457158679       -2.2583570617230403E-002  0.65000848110417231       0.68794920032268958       0.51091277678946745       -4.5668415081615956      -0.16206935087472768       -3.0762521446964691E-004  -1.1233762591602858       -4.5666057335451740      -0.16250264436582074       -3.0779373379080812E-004  -1.1233687756567363     
   1.9531250000000000E-002  0.18750327241447023        8.3504344161258182E-002  0.93325324250826402       0.93325325904475542       -2.1300240018872235E-002  0.65001308965649263       0.68808220183770175       0.51703459167515842       -3.9235596067144125      -0.13676521511867451       -2.9291878316000834E-004 -0.77427091680811366       -3.9232606664446195      -0.13699674078480020       -2.9316401265380872E-004 -0.77426346681935487     
   2.3437500000000000E-002  0.18750505048707053        9.1481770678466315E-002  0.93351360186961274       0.93351361834111213       -2.0041115439409146E-002  0.65002020194689381       0.68825434461298474       0.52310859310531599       -3.4501718436005566      -0.11750562676136694       -2.7960713908347718E-004 -0.54442257231058422       -3.4497926107288919      -0.11764294957175887       -2.7996305847414750E-004 -0.54441515460797030     
   2.7343750000000000E-002  0.18750779437763698        9.8819379869758472E-002  0.93377407527432610       0.93377409168075431       -1.8806022649542259E-002  0.65003117750915951       0.68847698609867314       0.52914270613508141       -3.0823590415013071      -0.10211626882034225       -2.6814941061402084E-004 -0.38270004007325487       -3.0818783899873665      -0.10220361886135965       -2.6866443763953453E-004 -0.38269265339530967     
   3.1250000000000000E-002  0.18751202828544603       0.10565050147081820       0.93403466194109208       0.93403467828237086       -1.7594788161933855E-002  0.65004811314039534       0.68876467037188405       0.53514698023830365       -2.7846322015466183       -8.9396191889289781E-002  -2.5919105049084244E-004 -0.26353780815676242       -2.7840245184954995       -8.9454587984099054E-002  -2.5993373945159941E-004 -0.26353045121104635     
   3.5156250000000000E-002  0.18751856034511849       0.11206773299618132       0.93429536108719868       0.93429537736325052       -1.6407239201276277E-002  0.65007424137908498       0.68913594902803132       0.54113413656863063       -2.5353533122932950       -7.8618645042163413E-002  -2.5363148448047520E-004 -0.17273288103651852       -2.5345882916685554       -7.8659145080284210E-002  -2.5469812658465945E-004 -0.17272555250156540     
   3.9062500000000000E-002  0.18752863562869315       0.11813848367210868       0.93455617192854246       0.93455618813929064       -1.5243203673657807E-002  0.65011454251338296       0.68961436415835298       0.54712022327813792       -2.3202271612490071       -6.9313406563009661E-002  -2.5271054301400530E-004 -0.10176351658218608       -2.3192701958725763       -6.9342285458053529E-002  -2.5423498443170065E-004 -0.10175621510953459     
   4.2968750000000000E-002  0.18754417050123751       0.12391363371548769       0.93481709367963783       0.93481710982500654       -1.4102510135272098E-002  0.65017668200355960       0.69022959085249502       0.55312537718607901       -2.1291245628059969       -6.1160231745325755E-002  -2.5811383216046383E-004  -4.5206833671351809E-002  -2.1279382433839231       -6.1181265218711513E-002  -2.6027951950558745E-004  -4.5199557887659836E-002
   4.6875000000000000E-002  0.18756811007933646       0.12943270522326233       0.93507812555362557       0.93507814163353986       -1.2984987760519581E-002  0.65027244031595410       0.69101870708413271       0.55917467036976709       -1.9543973466215157       -5.3931981947023255E-002  -2.7209129551935857E-004   5.5238409076885375E-004  -1.9529448320373177       -5.3947550666449677E-002  -2.7514474009033868E-004   5.5963558154958903E-004
   5.0781250000000000E-002  0.18760496988213526       0.13472712240507007       0.93533926676228207       0.93533928277666756       -1.1890466309551026E-002  0.65041987952714719       0.69202750698313431       0.56529898567995773       -1.7899403468368809       -4.7462154076280620E-002  -2.9757035070677920E-004   3.8016947979206406E-002  -1.7881916611480762       -4.7473817489692711E-002  -3.0183335346687653E-004   3.8024176593581815E-002
