           1         (5.89805981832114412E-017,14.879349791247110)              (0.85062221676245864,0.0000000000000000)
           2        (-7.19910242530374944E-017,19.230166887703987)              (0.89723517805283470,0.0000000000000000)
           3        (-4.10045261634017777E-015,19.034648857769042)              (0.89672617813868749,0.0000000000000000)
           4        (-1.81415212713309515E-014,18.329368278660379)              (0.88947877311105761,0.0000000000000000)
           5         (2.24545317235869124E-014,18.355677505071728)              (0.89051486414037451,0.0000000000000000)
           6              (0.0000000000000000,-14.294013145908913)               (1.0267841714456911,0.0000000000000000)
           7              (0.0000000000000000,-19.154673262250380)               (1.0904208518449794,0.0000000000000000)
           8              (0.0000000000000000,-18.936966998411204)               (1.0897062582654544,0.0000000000000000)
           9              (0.0000000000000000,-18.049625782599847)               (1.0689285211968813,0.0000000000000000)
          10              (0.0000000000000000,-18.056970923264998)               (1.0773947933853343,0.0000000000000000)
          11              (0.0000000000000000,-20.290194615097153)         (9.74499754632526805E-002,0.0000000000000000)
          12              (0.0000000000000000,-20.440465308702709)         (9.61074190148627910E-002,0.0000000000000000)
          13              (0.0000000000000000,-20.214210876848789)         (9.91983546779431208E-002,0.0000000000000000)
          14              (0.0000000000000000,-19.335167178848831)         (9.91999520548254715E-002,0.0000000000000000)
          15              (0.0000000000000000,-19.303703335002037)         (9.76156567791159890E-002,0.0000000000000000)
          16              (0.0000000000000000,-19.292650731553795)         (9.66662091254793937E-002,0.0000000000000000)
          17              (0.0000000000000000,-21.607376170702999)              (0.10410226892746241,0.0000000000000000)
          18              (0.0000000000000000,-19.654796805264549)              (0.10052171800659469,0.0000000000000000)
