      radius         M_x     M_theta  A_expected    A_actual
     0.20000     0.04493     0.36408     0.94924     0.94923
     0.22500     0.04607     0.37967     0.95233     0.95233
     0.25000     0.04724     0.39328     0.95534     0.95534
     0.27500     0.04843     0.40513     0.95824     0.95824
     0.30000     0.04966     0.41537     0.96106     0.96105
     0.32500     0.05092     0.42414     0.96377     0.96377
     0.35000     0.05220     0.43153     0.96639     0.96639
     0.37500     0.05353     0.43761     0.96891     0.96891
     0.40000     0.05488     0.44246     0.97134     0.97134
     0.42500     0.05627     0.44612     0.97367     0.97367
     0.45000     0.05769     0.44862     0.97590     0.97590
     0.47500     0.05916     0.44998     0.97803     0.97803
     0.50000     0.06065     0.45023     0.98007     0.98007
     0.52500     0.06219     0.44937     0.98200     0.98200
     0.55000     0.06376     0.44740     0.98384     0.98384
     0.57500     0.06538     0.44430     0.98558     0.98558
     0.60000     0.06703     0.44006     0.98723     0.98723
     0.62500     0.06873     0.43465     0.98877     0.98877
     0.65000     0.07047     0.42802     0.99022     0.99022
     0.67500     0.07225     0.42011     0.99156     0.99156
     0.70000     0.07408     0.41087     0.99281     0.99281
     0.72500     0.07596     0.40018     0.99396     0.99396
     0.75000     0.07788     0.38795     0.99500     0.99500
     0.77500     0.07985     0.37400     0.99595     0.99595
     0.80000     0.08187     0.35815     0.99680     0.99680
     0.82500     0.08395     0.34013     0.99755     0.99755
     0.85000     0.08607     0.31957     0.99820     0.99820
     0.87500     0.08825     0.29593     0.99875     0.99875
     0.90000     0.09048     0.26840     0.99920     0.99920
     0.92500     0.09277     0.23562     0.99955     0.99955
     0.95000     0.09512     0.19495     0.99980     0.99980
     0.97500     0.09753     0.13964     0.99995     0.99995
     1.00000     0.10000    -0.00000     1.00000     1.00000
