      radius         M_x     M_theta  A_expected    A_actual
     0.20000     0.04493     0.36408     0.94924     0.94924
     0.21250     0.04550     0.37214     0.95080     0.95080
     0.22500     0.04607     0.37967     0.95233     0.95233
     0.23750     0.04665     0.38671     0.95385     0.95385
     0.25000     0.04724     0.39328     0.95534     0.95534
     0.26250     0.04783     0.39941     0.95680     0.95680
     0.27500     0.04843     0.40513     0.95824     0.95824
     0.28750     0.04904     0.41044     0.95966     0.95966
     0.30000     0.04966     0.41537     0.96106     0.96106
     0.31250     0.05028     0.41993     0.96243     0.96243
     0.32500     0.05092     0.42414     0.96377     0.96377
     0.33750     0.05156     0.42800     0.96509     0.96509
     0.35000     0.05220     0.43153     0.96639     0.96639
     0.36250     0.05286     0.43473     0.96766     0.96766
     0.37500     0.05353     0.43761     0.96891     0.96891
     0.38750     0.05420     0.44019     0.97014     0.97014
     0.40000     0.05488     0.44246     0.97134     0.97134
     0.41250     0.05557     0.44444     0.97251     0.97251
     0.42500     0.05627     0.44612     0.97367     0.97367
     0.43750     0.05698     0.44751     0.97479     0.97479
     0.45000     0.05769     0.44862     0.97590     0.97590
     0.46250     0.05842     0.44944     0.97698     0.97698
     0.47500     0.05916     0.44998     0.97803     0.97803
     0.48750     0.05990     0.45025     0.97906     0.97906
     0.50000     0.06065     0.45023     0.98007     0.98007
     0.51250     0.06142     0.44994     0.98105     0.98105
     0.52500     0.06219     0.44937     0.98200     0.98200
     0.53750     0.06297     0.44853     0.98294     0.98294
     0.55000     0.06376     0.44740     0.98384     0.98384
     0.56250     0.06456     0.44599     0.98473     0.98473
     0.57500     0.06538     0.44430     0.98558     0.98558
     0.58750     0.06620     0.44233     0.98642     0.98642
     0.60000     0.06703     0.44006     0.98723     0.98723
     0.61250     0.06788     0.43750     0.98801     0.98801
     0.62500     0.06873     0.43465     0.98877     0.98877
     0.63750     0.06959     0.43149     0.98951     0.98951
     0.65000     0.07047     0.42802     0.99022     0.99022
     0.66250     0.07136     0.42423     0.99090     0.99090
     0.67500     0.07225     0.42011     0.99156     0.99156
     0.68750     0.07316     0.41566     0.99220     0.99220
     0.70000     0.07408     0.41087     0.99281     0.99281
     0.71250     0.07501     0.40571     0.99339     0.99339
     0.72500     0.07596     0.40018     0.99396     0.99396
     0.73750     0.07691     0.39427     0.99449     0.99449
     0.75000     0.07788     0.38795     0.99500     0.99500
     0.76250     0.07886     0.38120     0.99549     0.99549
     0.77500     0.07985     0.37400     0.99595     0.99595
     0.78750     0.08086     0.36633     0.99639     0.99639
     0.80000     0.08187     0.35815     0.99680     0.99680
     0.81250     0.08290     0.34943     0.99719     0.99719
     0.82500     0.08395     0.34013     0.99755     0.99755
     0.83750     0.08500     0.33019     0.99789     0.99789
     0.85000     0.08607     0.31957     0.99820     0.99820
     0.86250     0.08715     0.30817     0.99849     0.99849
     0.87500     0.08825     0.29593     0.99875     0.99875
     0.88750     0.08936     0.28272     0.99899     0.99899
     0.90000     0.09048     0.26840     0.99920     0.99920
     0.91250     0.09162     0.25279     0.99939     0.99939
     0.92500     0.09277     0.23562     0.99955     0.99955
     0.93750     0.09394     0.21653     0.99969     0.99969
     0.95000     0.09512     0.19495     0.99980     0.99980
     0.96250     0.09632     0.16993     0.99989     0.99989
     0.97500     0.09753     0.13964     0.99995     0.99995
     0.98750     0.09876     0.09937     0.99999     0.99999
     1.00000     0.10000    -0.00000     1.00000     1.00000
