           1              (-12.386161860623755,1.4850084563264676)              (0.82637524066831070,0.0000000000000000)
           2              (-10.753951704157686,1.6843855014196643)              (0.85689834369342899,0.0000000000000000)
           3               (13.766710709850690,1.6505259700278803)              (0.91848217422624312,0.0000000000000000)
           4               (11.961043413678082,1.8734516075668592)              (0.95308204574354904,0.0000000000000000)
          16              (-3.4549198053242955,3.5952151035882829)              (0.70384616799200594,0.0000000000000000)
          17             (-0.96509753301595125,5.8960989226700322)              (0.71797546022549974,0.0000000000000000)
          18              (0.97435033921009917,5.9526273654093922)              (0.72485900055002883,0.0000000000000000)
          19               (3.4826708986049137,3.6240930965158831)              (0.70949970027748877,0.0000000000000000)
          20             (-4.8416068795207865,-1.3279462734076832)              (0.98338258172894555,0.0000000000000000)
          21              (4.8612847916513600,-1.3333434918792570)              (0.98737937794051955,0.0000000000000000)
          22             (-1.3661697451113008,-4.4214755931327394)              (0.99832581651928409,0.0000000000000000)
          23              (1.3714170294984447,-4.4384579190340459)               (1.0021602591198835,0.0000000000000000)
