         radius            M_x        M_theta     A_expected       A_actual
 0.200000000000 0.092074916864 0.202609587022 0.984020145210 0.984020145310
 0.200390625000 0.092082550557 0.202811924650 0.984035924896 0.984035924957
 0.200781250000 0.092090180723 0.203011071377 0.984051705313 0.984051705335
 0.201171875000 0.092097807362 0.203207020268 0.984067485993 0.984067485977
 0.201562500000 0.092105430474 0.203399764652 0.984083266470 0.984083266415
 0.201953125000 0.092113050058 0.203589298122 0.984099046276 0.984099046182
 0.202343750000 0.092120666115 0.203775614538 0.984114824945 0.984114824812
 0.202734375000 0.092128278643 0.203958708025 0.984130602010 0.984130601838
 0.203125000000 0.092135887643 0.204138572979 0.984146377006 0.984146376796
 0.203515625000 0.092143493113 0.204315204063 0.984162149467 0.984162149218
 0.203906250000 0.092151095055 0.204488596209 0.984177918929 0.984177918641
 0.204296875000 0.092158693468 0.204658744620 0.984193684927 0.984193684600
 0.204687500000 0.092166288350 0.204825644770 0.984209446997 0.984209446632
 0.205078125000 0.092173879703 0.204989292407 0.984225204677 0.984225204274
 0.205468750000 0.092181467526 0.205149683548 0.984240957505 0.984240957063
 0.205859375000 0.092189051818 0.205306814486 0.984256705019 0.984256704539
 0.206250000000 0.092196632579 0.205460681786 0.984272446759 0.984272446241
 0.206640625000 0.092204209809 0.205611282288 0.984288182266 0.984288181709
 0.207031250000 0.092211783508 0.205758613106 0.984303911080 0.984303910485
 0.207421875000 0.092219353675 0.205902671630 0.984319632746 0.984319632113
 0.207812500000 0.092226920310 0.206043455524 0.984335346805 0.984335346135
 0.208203125000 0.092234483413 0.206180962731 0.984351052805 0.984351052096
 0.208593750000 0.092242042984 0.206315191465 0.984366750289 0.984366749543
 0.208984375000 0.092249599021 0.206446140222 0.984382438807 0.984382438023
 0.209375000000 0.092257151525 0.206573807770 0.984398117906 0.984398117085
 0.209765625000 0.092264700496 0.206698193156 0.984413787137 0.984413786278
 0.210156250000 0.092272245933 0.206819295702 0.984429446051 0.984429445155
 0.210546875000 0.092279787837 0.206937115009 0.984445094202 0.984445093269
 0.210937500000 0.092287326205 0.207051650952 0.984460731144 0.984460730174
 0.211328125000 0.092294861040 0.207162903686 0.984476356433 0.984476355427
 0.211718750000 0.092302392339 0.207270873639 0.984491969628 0.984491968585
 0.212109375000 0.092309920104 0.207375561519 0.984507570288 0.984507569208
 0.212500000000 0.092317444332 0.207476968308 0.984523157974 0.984523156858
 0.212890625000 0.092324965026 0.207575095263 0.984538732250 0.984538731097
 0.213281250000 0.092332482183 0.207669943921 0.984554292680 0.984554291491
 0.213671875000 0.092339995803 0.207761516090 0.984569838832 0.984569837608
 0.214062500000 0.092347505888 0.207849813855 0.984585370275 0.984585369015
 0.214453125000 0.092355012435 0.207934839577 0.984600886579 0.984600885284
 0.214843750000 0.092362515445 0.208016595888 0.984616387319 0.984616385988
 0.215234375000 0.092370014918 0.208095085696 0.984631872068 0.984631870702
 0.215625000000 0.092377510853 0.208170312182 0.984647340405 0.984647339004
 0.216015625000 0.092385003250 0.208242278799 0.984662791909 0.984662790473
 0.216406250000 0.092392492108 0.208310989272 0.984678226162 0.984678224691
 0.216796875000 0.092399977428 0.208376447598 0.984693642748 0.984693641243
 0.217187500000 0.092407459209 0.208438658044 0.984709041254 0.984709039715
 0.217578125000 0.092414937451 0.208497625146 0.984724421268 0.984724419695
 0.217968750000 0.092422412154 0.208553353710 0.984739782383 0.984739780776
 0.218359375000 0.092429883316 0.208605848811 0.984755124191 0.984755122551
 0.218750000000 0.092437350939 0.208655115790 0.984770446290 0.984770444616
 0.219140625000 0.092444815021 0.208701160254 0.984785748279 0.984785746572
 0.219531250000 0.092452275563 0.208743988077 0.984801029758 0.984801028018
 0.219921875000 0.092459732564 0.208783605397 0.984816290333 0.984816288561
 0.220312500000 0.092467186024 0.208820018614 0.984831529611 0.984831527806
 0.220703125000 0.092474635942 0.208853234392 0.984846747202 0.984846745364
 0.221093750000 0.092482082318 0.208883259655 0.984861942717 0.984861940848
 0.221484375000 0.092489525153 0.208910101589 0.984877115773 0.984877113872
 0.221875000000 0.092496964445 0.208933767636 0.984892265988 0.984892264055
 0.222265625000 0.092504400194 0.208954265499 0.984907392983 0.984907391019
 0.222656250000 0.092511832401 0.208971603134 0.984922496382 0.984922494387
 0.223046875000 0.092519261064 0.208985788756 0.984937575813 0.984937573788
 0.223437500000 0.092526686184 0.208996830830 0.984952630906 0.984952628850
 0.223828125000 0.092534107760 0.209004738076 0.984967661294 0.984967659207
 0.224218750000 0.092541525792 0.209009519465 0.984982666613 0.984982664497
 0.224609375000 0.092548940280 0.209011184216 0.984997646503 0.984997644357
 0.225000000000 0.092556351223 0.209009741798 0.985012600607 0.985012598432
 0.225390625000 0.092563758622 0.209005201925 0.985027528571 0.985027526366
 0.225781250000 0.092571162475 0.208997574559 0.985042430043 0.985042427810
 0.226171875000 0.092578562783 0.208986869904 0.985057304677 0.985057302414
 0.226562500000 0.092585959545 0.208973098405 0.985072152127 0.985072149837
 0.226953125000 0.092593352761 0.208956270749 0.985086972053 0.985086969735
 0.227343750000 0.092600742431 0.208936397862 0.985101764118 0.985101761772
 0.227734375000 0.092608128554 0.208913490907 0.985116527987 0.985116525613
 0.228125000000 0.092615511130 0.208887561283 0.985131263329 0.985131260928
 0.228515625000 0.092622890159 0.208858620621 0.985145969817 0.985145967389
 0.228906250000 0.092630265641 0.208826680787 0.985160647127 0.985160644673
 0.229296875000 0.092637637575 0.208791753875 0.985175294939 0.985175292458
 0.229687500000 0.092645005961 0.208753852210 0.985189912936 0.985189910429
