GridPoints                  L2
         5      0.000030569668
         9      0.000007409806
        17      0.000001822807
        33      0.000000451954
        65      0.000000112517
       129      0.000000028070
       257      0.000000007010
       513      0.000000001752
      1025      0.000000000438
      2049      0.000000000109
