             radius   SpeedofSoundError            Expected              Actual 
      0.100000000000     -0.000000002503      0.994376265207      0.994376267710
      0.150000000000     -0.000000002363      0.994688655596      0.994688657959
      0.200000000000     -0.000000002223      0.995001059862      0.995001062086
      0.250000000000     -0.000000002084      0.995313476272      0.995313478355
      0.300000000000     -0.000000001944      0.995625903090      0.995625905034
      0.350000000000     -0.000000001805      0.995938338583      0.995938340388
      0.400000000000     -0.000000001665      0.996250781015      0.996250782681
      0.450000000000     -0.000000001526      0.996563228653      0.996563230179
      0.500000000000     -0.000000001387      0.996875679761      0.996875681148
      0.550000000000     -0.000000001248      0.997188132604      0.997188133852
      0.600000000000     -0.000000001109      0.997500585447      0.997500586555
      0.650000000000     -0.000000000970      0.997813036554      0.997813037524
      0.700000000000     -0.000000000831      0.998125484192      0.998125485023
      0.750000000000     -0.000000000692      0.998437926625      0.998437927317
      0.800000000000     -0.000000000554      0.998750362118      0.998750362671
      0.850000000000     -0.000000000415      0.999062788936      0.999062789351
      0.900000000000     -0.000000000277      0.999375205345      0.999375205622
      0.950000000000     -0.000000000138      0.999687609611      0.999687609749
      1.000000000000     -0.000000000000      1.000000000000      1.000000000000
