radius      S_expected         S_actual            Error 
  0.100000000000  0.000000000000  0.000000000000  0.010000000149
  0.102343750000  0.015636364136  0.015622738587  0.000013625550
  0.104687500000  0.031191280428  0.031177654878  0.000013625550
  0.107031250000  0.046664747269  0.046651121719  0.000013625550
  0.109375000000  0.062056763053  0.062043137504  0.000013625550
  0.111718750000  0.077367326175  0.077353700625  0.000013625550
  0.114062500000  0.092596435028  0.092582809479  0.000013625550
  0.116406250000  0.107744088007  0.107730462457  0.000013625550
  0.118750000000  0.122810283505  0.122796657956  0.000013625550
  0.121093750000  0.137795019917  0.137781394367  0.000013625550
  0.123437500000  0.152698295636  0.152684670087  0.000013625550
  0.125781250000  0.167520109058  0.167506483508  0.000013625550
  0.128125000000  0.182260458575  0.182246833025  0.000013625550
  0.130468750000  0.196919342582  0.196905717032  0.000013625550
  0.132812500000  0.211496759473  0.211483133924  0.000013625550
  0.135156250000  0.225992707643  0.225979082093  0.000013625550
  0.137500000000  0.240407185485  0.240393559935  0.000013625550
  0.139843750000  0.254740191394  0.254726565844  0.000013625550
  0.142187500000  0.268991723763  0.268978098213  0.000013625550
  0.144531250000  0.283161780987  0.283148155438  0.000013625550
  0.146875000000  0.297250361461  0.297236735911  0.000013625550
  0.149218750000  0.311257463578  0.311243838028  0.000013625550
  0.151562500000  0.325183085732  0.325169460183  0.000013625550
  0.153906250000  0.339027226319  0.339013600769  0.000013625550
  0.156250000000  0.352789883731  0.352776258182  0.000013625550
  0.158593750000  0.366471056364  0.366457430815  0.000013625550
  0.160937500000  0.380070742612  0.380057117063  0.000013625550
  0.163281250000  0.393588940869  0.393575315319  0.000013625550
  0.165625000000  0.407025649529  0.407012023980  0.000013625550
  0.167968750000  0.420380866987  0.420367241438  0.000013625550
  0.170312500000  0.433654591638  0.433640966088  0.000013625550
  0.172656250000  0.446846821874  0.446833196324  0.000013625550
  0.175000000000  0.459957556092  0.459943930542  0.000013625550
  0.177343750000  0.472986792684  0.472973167135  0.000013625550
  0.179687500000  0.485934530047  0.485920904497  0.000013625550
  0.182031250000  0.498800766573  0.498787141024  0.000013625550
  0.184375000000  0.511585500658  0.511571875109  0.000013625550
  0.186718750000  0.524288730697  0.524275105147  0.000013625550
  0.189062500000  0.536910455082  0.536896829533  0.000013625550
  0.191406250000  0.549450672210  0.549437046661  0.000013625550
  0.193750000000  0.561909380475  0.561895754925  0.000013625550
  0.196093750000  0.574286578270  0.574272952721  0.000013625550
  0.198437500000  0.586582263992  0.586568638442  0.000013625550
  0.200781250000  0.598796436033  0.598782810484  0.000013625550
  0.203125000000  0.610929092790  0.610915467240  0.000013625550
  0.205468750000  0.622980232656  0.622966607106  0.000013625550
  0.207812500000  0.634949854026  0.634936228476  0.000013625550
  0.210156250000  0.646837955295  0.646824329745  0.000013625550
  0.212500000000  0.658644534858  0.658630909308  0.000013625550
  0.214843750000  0.670369591108  0.670355965559  0.000013625550
  0.217187500000  0.682013122442  0.681999496892  0.000013625550
  0.219531250000  0.693575127253  0.693561501704  0.000013625550
  0.221875000000  0.705055603937  0.705041978387  0.000013625550
  0.224218750000  0.716454550888  0.716440925338  0.000013625550
  0.226562500000  0.727771966501  0.727758340951  0.000013625550
  0.228906250000  0.739007849171  0.738994223621  0.000013625550
  0.231250000000  0.750162197292  0.750148571742  0.000013625550
  0.233593750000  0.761235009260  0.761221383710  0.000013625550
  0.235937500000  0.772226283469  0.772212657919  0.000013625550
  0.238281250000  0.783136018315  0.783122392765  0.000013625550
  0.240625000000  0.793964212191  0.793950586642  0.000013625550
  0.242968750000  0.804710863494  0.804697237945  0.000013625550
  0.245312500000  0.815375970618  0.815362345069  0.000013625550
  0.247656250000  0.825959531959  0.825945906409  0.000013625550
  0.250000000000  0.836461545910  0.836447920360  0.000013625550
  0.252343750000  0.846882010867  0.846868385318  0.000013625550
  0.254687500000  0.857220925226  0.857207299676  0.000013625550
  0.257031250000  0.867478287381  0.867464661832  0.000013625550
  0.259375000000  0.877654095728  0.877640470178  0.000013625550
  0.261718750000  0.887748348661  0.887734723111  0.000013625550
  0.264062500000  0.897761044576  0.897747419026  0.000013625550
  0.266406250000  0.907692181867  0.907678556318  0.000013625550
  0.268750000000  0.917541758931  0.917528133381  0.000013625550
  0.271093750000  0.927309774162  0.927296148612  0.000013625550
  0.273437500000  0.936996225956  0.936982600406  0.000013625550
  0.275781250000  0.946601112707  0.946587487157  0.000013625550
  0.278125000000  0.956124432812  0.956110807262  0.000013625550
  0.280468750000  0.965566184665  0.965552559115  0.000013625550
  0.282812500000  0.974926366662  0.974912741112  0.000013625550
  0.285156250000  0.984204977198  0.984191351648  0.000013625550
  0.287500000000  0.993402014668  0.993388389119  0.000013625550
  0.289843750000  1.002517477469  1.002503851919  0.000013625550
  0.292187500000  1.011551363995  1.011537738445  0.000013625550
  0.294531250000  1.020503672642  1.020490047092  0.000013625550
  0.296875000000  1.029374401805  1.029360776256  0.000013625550
  0.299218750000  1.038163549881  1.038149924331  0.000013625550
  0.301562500000  1.046871115264  1.046857489714  0.000013625550
  0.303906250000  1.055497096350  1.055483470800  0.000013625550
  0.306250000000  1.064041491535  1.064027865985  0.000013625550
  0.308593750000  1.072504299214  1.072490673664  0.000013625550
  0.310937500000  1.080885517783  1.080871892233  0.000013625550
  0.313281250000  1.089185145638  1.089171520088  0.000013625550
  0.315625000000  1.097403181174  1.097389555625  0.000013625550
  0.317968750000  1.105539622788  1.105525997238  0.000013625550
  0.320312500000  1.113594468874  1.113580843325  0.000013625550
