GridPoints                  L2
         5      0.394485385696
         9      0.318112447546
        17      0.143531405704
        33      0.032859042862
        65      0.003754932492
       129      0.000266276644
       257      0.000019099371
       513      0.000001245668
      1025      0.000000078084
      2049      0.000000004869
