                       x             REAL(y)             IMAG(y)
   0.0000000000000000        7.5448945306596418E-002  -7.6490744645056147E-002
   3.1250000000000000E-002  0.18103895839506109      -0.18353874505642473     
   6.2500000000000000E-002   8.0558769090880583E-003  -8.1671124896585245E-003
   9.3750000000000000E-002  -1.0503268973734542E-002   1.0648298153718863E-002
  0.12500000000000000       -7.7950500881631888E-004   7.9026841709475772E-004
  0.15625000000000000        5.7087541401940999E-004  -5.7875806401870014E-004
  0.18750000000000000        5.4443149923041389E-005  -5.5194901154863398E-005
  0.21875000000000000       -3.0579307654638832E-005   3.1001546856995502E-005
  0.25000000000000000       -3.4342747546845487E-006   3.4816952342294391E-006
  0.28125000000000000        1.6306212608597581E-006  -1.6531368857485613E-006
  0.31250000000000000        2.0655694024627984E-007  -2.0940907930326756E-007
  0.34375000000000000       -8.6826772949147051E-008   8.8025677376980407E-008
  0.37500000000000000       -1.2094298975966611E-008   1.2261297104617559E-008
  0.40625000000000000        4.6219872371613455E-009  -4.6858076553618117E-009
  0.43750000000000000        6.9625904430547901E-010  -7.0587299197913802E-010
  0.46875000000000000       -2.4608456439208001E-010   2.4948250102912861E-010
  0.50000000000000000       -3.9625049701622468E-011   4.0172192547309113E-011
  0.53125000000000000        1.3107132771485066E-011  -1.3288116110363571E-011
  0.56250000000000000        2.2366245260380361E-012  -2.2675078465857711E-012
  0.59375000000000000       -6.9844641523197962E-013   7.0809056546178560E-013
  0.62500000000000000       -1.2547258604163436E-013   1.2720511203250475E-013
  0.65625000000000000        3.7236614927891277E-014  -3.7750778101065744E-014
  0.68750000000000000        7.0056849451056006E-015  -7.1024194743234895E-015
  0.71875000000000000       -1.9861716387866497E-015   2.0135966690928490E-015
  0.75000000000000000       -3.8969957342811224E-016   3.9508054765597481E-016
  0.78125000000000000        1.0599003113970489E-016  -1.0745353383951043E-016
  0.81250000000000000        2.1612280563103466E-017  -2.1910703426280769E-017
  0.84375000000000000       -5.6585422283395545E-018   5.7366736278783374E-018
  0.87500000000000000       -1.1956098219947560E-018   1.2121189880931984E-018
  0.90625000000000000        3.0217681084289822E-019  -3.0634890042120920E-019
  0.93750000000000000        6.5626744521352840E-020  -6.6533034761467079E-020
  0.96875000000000000       -1.5297217720020664E-020   1.5508379463971135E-020
   1.0000000000000000        3.3334950518084498E-021  -3.3792232818137599E-021
