 i S_real S_imag 
           1   0.0000000000000000        0.0000000000000000     
           2 -0.10630254275718003        6.9416888338911464E-002
           3 -0.53698275798691286      -0.16058960584215440     
           4 -0.63400176954485898      -0.51401053643604300     
           5  0.32010548413964612       0.10205896182995727     
           6 -0.32725346185207799      -0.18604911498108984     
           7   4.5064808985981863E-002  0.17229288033750201     
           8 -0.52395646903177884      -0.25596137763871940     
           9   2.8780941529710197E-002  0.32007089651629267     
          10 -0.22728173497354809      -0.16177226528315325     
          11   3.6353810989364660E-002  0.34216055464299688     
          12  -8.9774415922624279E-002   1.2742776913453734E-002
          13 -0.14406137562733018       0.28836656033925107     
          14 -0.18128998574068958       -2.0855974009322542E-003
          15  0.36534151254194586       0.75353210993106168     
          16  0.18652690597355304       0.25838416694602129     
          17  0.84590676850160285       0.79073815002022652     
          18  0.14279914485585396       -7.9826379927507851E-002
          19  0.87747841875592170       0.85908597021625865     
          20  0.11760531985953672       0.15798279223347211     
          21  0.44772703920324708       0.63962122089037610     
          22  -5.9293248899228622E-002  -9.3981618035292855E-002
          23  0.47632954730227905       0.45889278018796964     
          24 -0.19682361976501783      -0.28403370125879684     
          25  0.18265727983839480       0.30905027110181776     
          26 -0.42630015640214114      -0.65762381144547821     
          27  0.45680243716606128       0.50339472218098680     
          28 -0.59561341378170740      -0.59783089467991068     
          29  0.33424376170459946       0.37187877000979486     
          30 -0.58808651349167806      -0.61592217704706675     
          31   2.6933993132382102E-002 -0.13832378146426971     
          32 -0.21122866838702817      -0.20600274344185213     
          33  0.19142331907155782        1.9876665132451177E-002
          34  0.18961316901033246       -1.4416473068892072E-002
          35  0.58895330293357051       0.27876152703586304     
          36 -0.12798886637881463      -0.30689056154363487     
          37  0.34643633918323463       0.10174212642361800     
          38  0.32847176402894507       0.20748740134419719     
          39 -0.23874248662504813      -0.31512360081628432     
          40   2.6476462266717377E-002 -0.31313932015121770     
          41 -0.71905362277844820      -0.94357874481691706     
          42  -3.5661175847412054E-002  -4.4486400409130419E-002
          43 -0.32952043965649469      -0.30285852156489756     
          44  0.11280830308296998       0.12009312945197184     
          45 -0.40213675218157280      -0.30720612766013766     
          46 -0.11654025430482629       -3.8791783978235274E-002
          47 -0.35599880693402675       -3.8213803676979463E-002
          48 -0.25052187923756980      -0.12775602409928258     
          49 -0.43965779643358260      -0.11905755617360053     
          50 -0.26862786505175473      -0.20368036713180487     
          51 -0.72172110405442569      -0.36669979168667899     
          52 -0.29252936960260956      -0.28390139052056129     
          53 -0.22272555531907576       0.10939111418433865     
          54 -0.25631884154964257      -0.15185547233705055     
          55 -0.12325781509807447       0.34739503291183754     
          56   6.4314456320124835E-002  0.11876019719430088     
          57 -0.15148768752786240        7.5358449945335859E-002
          58  0.17495061078914800       0.26466870246646323     
          59 -0.20987449881653497        4.6560864636089577E-002
          60  0.42293842393067405       0.55029137901844449     
          61 -0.61707686515435511      -0.17316425152842851     
          62  0.52656983043977024       0.59588609551492233     
          63 -0.13073321539369021       0.18098526448227883     
          64  0.26595532567966040       0.51673119590885230     
          65 -0.24522202771335863        2.0828657237584217E-002
          66 -0.41107759737931993      -0.16276794047934418     
          67   1.4384750311129235E-002  0.30556334200720614     
          68  -1.2397331597065053      -0.87068979320080075     
          69   4.4338304210152349E-002   7.6192420654097148E-002
          70  -1.2326972892036134      -0.90420919267524114     
          71   9.3844251910439366E-002  -8.4228036689165356E-002
          72 -0.75180056314286436      -0.57276206776250316     
          73  0.16529832794411001      -0.28171126038613692     
          74 -0.76382118913415720       -1.0392967994837403     
          75  -1.2803457485069614E-002 -0.28377707784270334     
          76 -0.77856168730518183      -0.78460533510149388     
          77 -0.17718306686980589       -6.5095085257509663E-002
          78 -0.35747534961612032      -0.28990723558429815     
          79 -0.12057398872587322       -3.2887888266577653E-002
          80 -0.18714769467201631      -0.27441295421794765     
          81  0.39428969680201897       0.35537554562592821     
          82  -3.5393609583598024E-002 -0.13382207159857851     
          83  0.43015666790300922       0.40510591809463753     
          84  0.20778117979447017       0.11839509990344613     
          85  0.13107582847617438        1.4236662308566767E-002
          86  0.26353882841998355      -0.11408806264597829     
          87 -0.45908970648452951      -0.53083981043699791     
          88   3.5545502970735471E-002 -0.20207622638273989     
          89 -0.33598473800521100      -0.31087854169208856     
          90  0.55551622697974445       0.49650273672099526     
          91  0.60186462789031869       0.49907409005685066     
          92  0.61752003867118077       0.51475721147963793     
          93  0.35301748124032239       0.35782485067482367     
          94  0.61138868929593504       0.22649969441041984     
          95  0.63070226617664860       0.65151544068083611     
          96   6.5848112149290733E-002  -8.1969339824979490E-002
          97  0.37023944514071422       0.15620870030930650     
          98 -0.40462745967362346      -0.66808474577952337     
          99  0.45584689259910199      -0.18609393680042233     
         100 -0.82172649738237791       -1.1024985073121272     
         101  -3.2306255561947300E-002 -0.47587244591921074     
