 radius M_x M_theta A_expected A_actual vR vTh vX Pr S_1_e S_2_e S_3_e S_4_e S_1_a S_2_a S_3_a S_4_a 
  0.75000000000000000       0.39800167198239195        3.1599161934355698E-002  0.99600000171148184       0.99600019227035674       -3.1087578289355267E-002  -2.4997396287124950E-002  -0.0000000000000000       -3.1087578289355267E-002       (-5.60135384551534860E-003,0.62117241111606047)       (-1.96390344555022857E-003,0.45803212542216487)       (-1.23720817515357764E-002,-3.1087578289355267)       (-4.91909602032230067E-002,0.58784254939989389)            (0.24946802492101305,-0.92647638250501430)      (-2.05394297524977764E-003,-0.78642602591231181)       (-4.99858927165906385E-004,-3.1087578289355267)            (0.20587841856330535,-0.95980624422118088)
  0.77499999999999991       0.39838109909292396        3.6531831782859035E-002  0.99600726855950805       0.99600779520366467       -2.5205892931056684E-002  -2.2498101945744871E-002  -0.0000000000000000       -2.5205892931056684E-002       (-3.51993302155541960E-003,0.47842812794907980)       (-1.05221396621212639E-002,0.39450834360338993)       (-1.00407710874673914E-002,-2.5205892931056684)       (-3.81994143128571717E-002,0.44939831898682836)            (0.22518678466651287,-0.75227405096698985)      (-1.04457275483946892E-002,-0.70398331316265828)       (-3.65927403400797082E-004,-2.5205892931056684)            (0.19050730337521105,-0.78130385992924123)
  0.79999999999999993       0.39872068842434261        4.9962444882097015E-002  0.99601879596522802       0.99601985279584127       -1.9933422158758374E-002  -1.9998666991296699E-002  -0.0000000000000000       -1.9933422158758374E-002       (-1.48708325922015548E-003,0.35818341626184313)       (-1.53128164426543575E-002,0.33443902215241883)       (-7.94687369249202219E-003,-1.9933422158758374)       (-2.89515754241471274E-002,0.33318508252272222)            (0.20112171310131832,-0.59590091219340824)      (-1.54831862226509753E-002,-0.62276815554275333)       (-2.59831454633055133E-004,-1.9933422158758374)            (0.17365722093639141,-0.62089924593252910)
  0.82500000000000007       0.39902040601799671        7.2244870567645322E-002  0.99604129687736176       0.99604337596855441       -1.5273461095066554E-002  -1.7499107045241200E-002  -0.0000000000000000       -1.5273461095066554E-002        (3.66892930003343172E-004,0.25883109239404373)       (-1.80200234338919706E-002,0.27803462554163683)       (-6.09307097687884335E-003,-1.5273461095066554)       (-2.12884721888716121E-002,0.23762005355132715)            (0.17711612869188825,-0.45743842978704341)      (-1.83401261431939654E-002,-0.54260956007384320)       (-1.78631468302462921E-004,-1.5273461095066554)            (0.15546076357301319,-0.47864946862976004)
  0.85000000000000009       0.39928022190237572       0.10561859222106847       0.99608767749002403       0.99609181054508500       -1.1228922063957647E-002  -1.4999437729820354E-002  -0.0000000000000000       -1.1228922063957647E-002        (1.99059939216533928E-003,0.17866810025904289)       (-1.94043512022414252E-002,0.22545186381935040)       (-4.48171915167757447E-003,-1.1228922063957647)       (-1.50653659455802832E-002,0.16102170292984247)            (0.15309119502300594,-0.33701413337368885)      (-1.97295714992047032E-002,-0.46338928297035675)       (-1.19499330301211135E-004,-1.1228922063957647)            (0.13603522968526033,-0.35466053070288928)
  0.87500000000000000       0.39950011009610698       0.15386973362478640       0.99618371715566689       0.99619187805544218       -7.8023327706709944E-003  -1.2499674667959752E-002  -0.0000000000000000       -7.8023327706709944E-003        (3.33896320062715022E-003,0.11594559009685892)       (-1.92215269575682912E-002,0.17683290000427837)      (-3.11492251227749256E-003,-0.78023327706709944)       (-1.01430456707617533E-002,0.10166024761919065)            (0.12897346379826274,-0.23475374322106701)      (-1.94306168253126528E-002,-0.38500260504140860)      (-7.92598585159159859E-005,-0.78023327706709944)            (0.11549145492687382,-0.24903908569873529)
  0.90000000000000002       0.39968004861055373       0.22130239775532828       0.99637936010150630       0.99639480944908565       -4.9958347219741794E-003  -9.9998334831708120E-003  -0.0000000000000000       -4.9958347219741794E-003   (4.31025580496579609E-003,6.88894628531119546E-002)       (-1.68552153050338556E-002,0.13234057527564577)      (-1.99456120207205760E-003,-0.49958347219741794)  (-6.37590506856583906E-003,5.77785367606999389E-002)            (0.10463202471183319,-0.15076287175244923)      (-1.68341221211812039E-002,-0.30732304301502394)      (-5.36953126273351456E-005,-0.49958347219741794)       (9.39458638383015576E-002,-0.16187379784486122)
  0.92500000000000004       0.39982001945201384       0.30993630692809360       0.99676277479159148       0.99678912499556671       -2.8111818877925021E-003  -7.4999297994533150E-003  -0.0000000000000000       -2.8111818877925021E-003   (4.69853048545558049E-003,3.56934672876337705E-002)  (-1.19981574933871668E-002,9.21872019311014701E-002)      (-1.12221542574756522E-003,-0.28111818877925021)  (-3.60008339430738884E-003,2.75854350720085677E-002)  (7.98310738602075604E-002,-8.51362387842720114E-002)      (-1.17306538501852787E-002,-0.23017340986818757)      (-3.68360364428088106E-005,-0.28111818877925021)  (7.15324599804445793E-002,-9.32442709998972108E-002)
  0.95000000000000007       0.39992000862351951       0.41286995776272678       0.99745939554828733       0.99749530724084023       -1.2497396050337173E-003  -4.9999792411975878E-003  -0.0000000000000000       -1.2497396050337173E-003   (4.19382262134760601E-003,1.44854037043274930E-002)  (-5.73970897415742188E-003,5.66379315125619190E-002)      (-4.98898953973946936E-004,-0.12497396050337173)  (-1.64707015069212180E-003,9.22226766096161110E-003)  (5.42302468385144065E-002,-3.79939473521713894E-002)      (-5.44412950862561106E-003,-0.15332233926475397)      (-2.19348347773136062E-005,-0.12497396050337173)  (4.83893540664746824E-002,-4.32570833955372713E-002)
  0.97500000000000009       0.39998000612623658       0.50527603686697053       0.99856656760463469       0.99859635975582406       -3.1248372429737437E-004  -2.4999974330869247E-003  -0.0000000000000000       -3.1248372429737437E-004   (2.55061566242836390E-003,3.27986242360774104E-003)  (-1.09575195821683927E-003,2.59197429708387175E-002) (-1.24823596878290914E-004,-3.12483724297374366E-002)  (-4.26496090177743206E-004,7.15762492236536249E-004)  (2.75532190424758738E-002,-9.53143365349675212E-003) (-1.01299477237426516E-003,-7.65758586138321484E-002) (-7.04554234163161203E-006,-3.12483724297374366E-002)  (2.45761072898697669E-002,-1.20955335848679565E-002)
   1.0000000000000000       0.40000000596046448       0.54772290565313642        1.0000000000000000        1.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000        0.0000000000000000                    (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)               (0.0000000000000000,0.0000000000000000)         (3.90584311560360220E-006,0.0000000000000000)
