     0.69090-309    0.69090-309
     0.66772E+02    0.00000E+00
     0.67093E+02    0.00000E+00
     0.67637E+02    0.00000E+00
     0.68422E+02    0.00000E+00
     0.69476E+02    0.00000E+00
     0.70839E+02    0.00000E+00
     0.72573E+02    0.00000E+00
     0.74770E+02    0.00000E+00
     0.77575E+02    0.00000E+00
     0.81225E+02    0.00000E+00
     0.86137E+02    0.00000E+00
     0.93149E+02    0.00000E+00
     0.10429E+03    0.00000E+00
     0.12692E+03    0.00000E+00
     0.00000E+00    0.00000E+00
